date,open,high,low,last_price,change,price_change,ticker,pond,initial_invested_usd,real_invested,not_invested,invested,profit,estimated,total_result
2020-08-14,44.795501708984375,44.869998931884766,44.536399841308594,44.66299819946289,-0.29579646273927285,-0.13250350952148438,ETHO,0.0406,5000.0,4888.499999999999,111.50000000000048,203.0,-0.6004668193607239,202.39953318063928,-5.632638544862857
2020-08-14,61.7599983215332,61.779998779296875,61.4900016784668,61.630001068115234,-0.21048778651382438,-0.12999725341796875,ESGV,0.0412,5000.0,4888.499999999999,111.50000000000048,206.0,-0.4336048402184782,205.56639515978154,-5.632638544862857
2020-08-14,81.37999725341797,81.62000274658203,81.2699966430664,81.5,0.14745975747374462,0.12000274658203125,VT,0.1216,5000.0,4888.499999999999,111.50000000000048,608.0,0.8965553254403673,608.8965553254403,-5.632638544862857
2020-08-14,114.01000213623047,114.20999908447266,113.25,113.87999725341797,-0.11402936617539439,-0.1300048828125,XLK,0.1516,5000.0,4888.499999999999,111.50000000000048,758.0000000000001,-0.8643425956094896,757.1356574043906,-5.632638544862857
2020-08-14,170.72000122070312,171.2949981689453,170.3800048828125,170.97999572753906,0.15229293871654725,0.2599945068359375,VTI,0.1961,5000.0,4888.499999999999,111.50000000000048,980.5,1.4932322641157458,981.9932322641157,-5.632638544862857
2020-08-14,337.760009765625,338.7799987792969,337.04998779296875,338.19000244140625,0.12730715992093078,0.42999267578125,IVV,0.1142,5000.0,4888.499999999999,111.50000000000048,571.0,0.7269238831485147,571.7269238831485,-5.632638544862857
2020-08-14,273.010009765625,273.3999938964844,270.7200012207031,272.1600036621094,-0.3113461313178023,-0.850006103515625,QQQ,0.153,5000.0,4888.499999999999,111.50000000000048,765.0,-2.3817979045811875,762.6182020954188,-5.632638544862857
2020-08-14,76.48999786376953,76.60220336914062,76.2582015991211,76.51000213623047,0.02615279516227087,0.0200042724609375,ESGU,0.0479,5000.0,4888.499999999999,111.50000000000048,239.5,0.06263594441363873,239.56263594441364,-5.632638544862857
2020-08-14,171.35000610351562,172.86000061035156,170.30999755859375,170.67999267578125,-0.39102036992610945,-0.670013427734375,SMH,0.0672,5000.0,4888.499999999999,111.50000000000048,336.0,-1.3138284429517277,334.6861715570483,-5.632638544862857
2020-08-14,100.37000274658203,100.41000366210938,98.69000244140625,99.02999877929688,-1.3350641931020424,-1.3400039672851562,ARKW,0.023,5000.0,4888.499999999999,111.50000000000048,115.0,-1.5353238220673489,113.46467617793265,-5.632638544862857
2020-08-14,86.08000183105469,86.30000305175781,84.35659790039062,84.72000122070312,-1.5799263260016794,-1.3600006103515625,ARKK,0.0213,5000.0,4888.499999999999,111.50000000000048,106.5,-1.6826215371917885,104.81737846280821,-5.632638544862857
